Pokemon,Score,Dex,Type 1,Type 2,Attack,Defense,Stamina,Stat Product,Level,CP,Fast Move,Charged Move 1,Charged Move 2,Charged Move 1 Count,Charged Move 2 Count,Buddy Distance,Charged Move Cost
Armaldo,76.8,348,rock,bug,133.9,109.1,115,1680484,19.5,1500,Fury Cutter,Rock Blast,Liquidation,10,12,3,50000
Dugtrio,76.8,51,ground,none,136.8,120.1,100,1642734,41,1500,Mud Slap,Mud Bomb,Stone Edge,4,6,3,50000
Escavalier (Shadow),76.8,589,bug,steel,132.2,117.6,108,1679048,19,1495,Bug Bite,Drill Run,Razor Shell,15,12,3,50000
Mudsdale,76.8,750,ground,none,123.6,107.1,136,1799895,18,1491,Mud Slap,Body Slam,Earthquake,4,7,3,50000
Servine (Shadow),76.8,496,grass,none,105.9,140.3,142,2109814,50,1494,Vine Whip,Grass Knot,Wrap,7,6,3,10000
Crocalor,76.7,910,fire,none,119.4,105.8,148,1869076,29,1494,Incinerate,Crunch,Flamethrower,3,3,3,10000
Golem (Shadow),76.7,76,rock,ground,125.2,122.3,117,1791042,19,1497,Mud Slap,Stone Edge,Rock Blast,6,4,1,10000
Magmortar,76.7,467,fire,none,140.8,104.5,108,1589375,17.5,1498,Karate Chop,Fire Punch,Thunderbolt,5,7,5,75000
Magnemite (Shadow),76.7,81,electric,steel,147.8,113.6,90,1511610,49,1496,Volt Switch,Magnet Bomb,Discharge,3,3,3,50000
Passimian,76.7,766,fighting,none,128.7,99.2,136,1735373,18,1494,Counter,Brutal Swing,Brick Break,6,7,3,75000
Avalugg (Hisuian),76.6,713,ice,rock,116.5,135.2,122,1921301,16,1498,Powder Snow,Rock Slide,Icy Wind,6,6,3,50000
Golem (Alolan),76.6,76,rock,electric,125.2,122.3,117,1791042,19,1497,Rollout,Wild Charge,Rock Blast,4,4,1,10000
Obstagoon (Shadow),76.6,862,dark,normal,113.2,127.9,137,1985019,21,1500,Counter,Cross Chop,Night Slash,6,6,3,10000
Seaking,76.6,119,water,none,121.9,109,138,1833820,26,1500,Poison Jab,Drill Run,Icy Wind,7,7,3,50000
Excadrill (Shadow),76.5,530,ground,steel,142.7,78.8,140,1573041,17,1500,Mud Slap,Drill Run,Rock Slide,5,5,3,50000
Kecleon,76.5,352,normal,none,115.6,142.2,118,1939686,27.5,1499,Sucker Punch,Aerial Ace,Ice Beam,6,8,5,75000
Staravia,76.5,397,normal,flying,131.9,91.6,135,1631281,50,1468,Quick Attack,Brave Bird,Fly,7,6,1,10000
Mamoswine (Shadow),76.4,473,ice,ground,136.2,87.4,138,1642085,16.5,1500,Powder Snow,Icicle Spear,High Horsepower,5,8,3,50000
Pumpkaboo (Average),76.4,710,ghost,grass,114.3,116,126,1669772,50,1381,Astonish,Grass Knot,Foul Play,5,4,5,75000
Snorlax,76.4,143,normal,none,108.4,102.3,187,2073265,17.5,1500,Lick,Body Slam,Superpower,12,14,5,75000
Electabuzz (Shadow),76.3,125,electric,none,132.2,112.6,114,1696362,24,1500,Thunder Shock,Thunder Punch,Thunderbolt,5,7,5,75000
Scolipede (Shadow),76.3,545,bug,poison,131.8,120.4,107,1697847,22.5,1496,Poison Sting,X-Scissor,Megahorn,5,7,1,10000
Aipom (Shadow),76.2,190,normal,none,124.4,106.7,135,1791711,50,1494,Astonish,Swift,Aerial Ace,4,4,3,50000
Druddigon,76.2,621,dragon,none,131.2,111.3,117,1708917,20.5,1499,Dragon Tail,Dragon Claw,Night Slash,4,4,5,75000
Rhydon,76.2,112,ground,rock,126.3,103.4,136,1775740,17.5,1499,Mud Slap,Breaking Swipe,Stone Edge,4,6,3,50000
Parasect,76.1,47,bug,grass,124.2,118.3,123,1806701,30.5,1500,Fury Cutter,X-Scissor,Cross Poison,10,9,3,50000
Staravia (Shadow),76.1,397,normal,flying,131.9,91.6,135,1631281,50,1468,Quick Attack,Brave Bird,Fly,7,6,1,10000
Tyrunt,76.1,696,rock,dragon,126.6,107.9,129,1762642,38.5,1498,Dragon Tail,Dragon Claw,Ancient Power,4,5,5,75000
Aggron (Shadow),76,306,steel,rock,116.6,155.7,106,1925111,18.5,1500,Metal Sound,Rock Tomb,Thunder,7,8,1,10000
Fraxure,76,611,dragon,none,144.3,91.5,118,1557842,25,1500,Dragon Tail,Dragon Claw,Aqua Tail,4,4,5,75000
Tauros (Combat),76,128,fighting,none,127.8,120.7,114,1758735,20,1500,Double Kick,Close Combat,Trailblaze,4,4,3,50000
Togekiss,76,468,fairy,flying,124.3,125.9,115,1799029,16.5,1498,Charm,Psyshock,Aura Sphere,7,10,3,50000
Articuno (Galarian),75.9,144,psychic,flying,133.6,110.4,114,1682033,15.5,1499,Psycho Cut,Fly,Brave Bird,5,7,20,100000
Klang,75.9,600,steel,none,114.1,137.8,125,1964847,31.5,1498,Metal Sound,Thunderbolt,Vise Grip,7,5,5,75000
Obstagoon,75.9,862,dark,normal,113.2,127.9,137,1985019,21,1500,Counter,Night Slash,Cross Chop,6,6,3,10000
Spritzee,75.9,682,fairy,none,105,107.6,168,1898008,50,1415,Charm,Thunderbolt,Draining Kiss,10,10,3,50000
Staraptor,75.9,398,normal,flying,140.4,90.8,125,1594214,19.5,1496,Quick Attack,Fly,Close Combat,6,6,1,10000
Excadrill,75.8,530,ground,steel,142.7,78.8,140,1573041,17,1500,Mud Slap,Drill Run,Rock Slide,5,5,3,50000
Mawile (Shadow),75.8,303,steel,fairy,124.8,120.8,119,1793917,39,1497,Fairy Wind,Iron Head,Play Rough,6,7,5,75000
Golbat,75.7,42,poison,flying,117.7,116.2,139,1901391,28.5,1499,Wing Attack,Poison Fang,Shadow Ball,6,8,1,10000
Grimer (Alolan),75.7,88,poison,dark,122.8,86.9,171,1824029,49,1497,Poison Jab,Crunch,Sludge Bomb,7,8,3,50000
Mienshao,75.7,620,fighting,none,158.9,84.8,105,1415434,20,1500,Force Palm,Brick Break,Brutal Swing,4,4,3,50000
Primarina,75.7,730,water,fairy,131.6,115.7,112,1705342,17,1500,Charm,Disarming Voice,Hydro Cannon,8,7,3,10000
Shiftry (Shadow),75.7,275,grass,dark,133.4,88.1,143,1680081,23.5,1497,Snarl,Leaf Blade,Foul Play,3,4,3,50000
Magnemite,75.6,81,electric,steel,147.8,113.6,90,1511610,49,1496,Volt Switch,Magnet Bomb,Discharge,3,3,3,50000
Slowking (Galarian),75.6,199,poison,psychic,117.3,117.9,138,1909734,20.5,1499,Acid,Surf,Shadow Ball,6,7,3,50000
Vullaby,75.6,629,dark,flying,100.8,129.4,157,2048662,50,1437,Air Slash,Brave Bird,Foul Play,7,5,5,75000
Heatran,75.5,485,fire,steel,131.9,115.9,111,1697281,15,1498,Fire Spin,Magma Storm,Stone Edge,4,6,20,100000
Thundurus (Incarnate),75.5,642,electric,flying,147.1,95.5,109,1530824,16.5,1500,Thunder Shock,Thunder Punch,Crunch,5,5,20,100000
Golbat (Shadow),75.4,42,poison,flying,117.7,116.2,139,1901391,28.5,1499,Wing Attack,Poison Fang,Shadow Ball,6,8,1,10000
Raticate (Alolan) (Shadow),75.4,20,dark,normal,107.1,130.2,150,2090786,36.5,1497,Quick Attack,Crunch,Hyper Beam,6,10,1,10000
Sandshrew (Alolan),75.4,27,ice,steel,117.6,121,127,1807853,50,1462,Powder Snow,Night Slash,Blizzard,5,10,3,50000
Braixen,75.3,654,fire,none,130.6,107,123,1718256,31,1499,Ember,Psyshock,Flame Charge,6,8,3,10000
Conkeldurr (Shadow),75.3,534,fighting,none,134,93.9,133,1673445,16.5,1500,Counter,Dynamic Punch,Brutal Swing,8,6,5,75000
Dhelmise,75.3,781,ghost,grass,139.8,109.3,105,1604674,20,1498,Shadow Claw,Power Whip,Wrap,7,6,5,50000
Muk (Alolan),75.3,89,poison,dark,115.9,111.7,148,1916176,20,1491,Poison Jab,Dark Pulse,Acid Spray,8,7,3,50000
Sandshrew,75.3,27,ground,none,118.5,113.4,127,1706968,50,1426,Sand Attack,Rock Tomb,Dig,13,13,3,50000
Zygarde (50% Forme),75.2,718,dragon,ground,114.1,128.3,133,1947950,15.5,1494,Dragon Tail,Crunch,Earthquake,5,8,20,100000
Staraptor (Shadow),75.1,398,normal,flying,140.4,90.8,125,1594214,19.5,1496,Quick Attack,Fly,Close Combat,6,6,1,10000
Gardevoir (Shadow),75,282,psychic,fairy,136.6,115.6,104,1642368,18,1499,Charm,Triple Axel,Shadow Ball,8,10,5,75000
Gholdengo,75,1000,steel,ghost,134.6,107.8,114,1654913,15.5,1493,Hex,Shadow Ball,Power Gem,5,4,5,10000
Lunatone,75,337,rock,psychic,119.1,108.6,145,1876210,24,1496,Psywave,Rock Slide,Moonblast,12,15,3,50000
Palossand,74.9,770,ghost,ground,116.6,123,134,1921866,23,1499,Astonish,Scorching Sands,Shadow Ball,5,6,3,50000
Purugly (Shadow),74.9,432,normal,none,125.5,105.5,134,1775269,28.5,1493,Shadow Claw,Aerial Ace,Thunder,5,8,3,50000
Hitmontop,74.8,237,fighting,none,121.2,149.9,102,1853307,26,1500,Counter,Close Combat,Triple Axel,8,8,5,75000
Pyroar,74.8,668,fire,normal,135,98,126,1666684,20,1500,Incinerate,Flame Charge,Dark Pulse,3,3,3,10000
Lugia,74.7,249,psychic,flying,101.9,167.1,129,2197360,15,1498,Dragon Tail,Fly,Aeroblast,5,9,20,100000
Slowbro (Galarian),74.7,80,poison,psychic,119.1,108.4,146,1884537,22.5,1500,Poison Jab,Scald,Brutal Swing,8,5,3,50000
Drilbur,74.6,529,ground,none,139.5,81.5,142,1614496,50,1500,Mud Slap,Drill Run,Rock Tomb,5,5,3,50000
Girafarig,74.6,203,normal,psychic,130.3,101.6,130,1720655,27.5,1499,Confusion,Psychic Fangs,Trailblaze,3,4,3,50000
Houndstone,74.6,972,ghost,none,120.3,130.3,119,1865721,22,1498,Lick,Psychic Fangs,Shadow Ball,12,19,3,50000
Hypno,74.6,97,psychic,none,103.4,143,147,2174050,27,1500,Confusion,Shadow Ball,Thunder Punch,5,4,3,50000
Mudbray,74.6,749,ground,none,129.9,98.7,134,1717363,29.5,1498,Mud Slap,Body Slam,Earthquake,4,7,3,50000
Baxcalibur,74.5,998,dragon,ice,135.7,95.7,127,1649572,15.5,1500,Ice Fang,Avalanche,Dragon Claw,8,6,5,75000
Charmeleon (Shadow),74.5,5,fire,none,126.6,109.5,128,1774326,38.5,1500,Ember,Fire Punch,Flamethrower,6,8,3,10000
Deoxys (Defense),74.5,386,psychic,none,101,221.5,98,2192628,23.5,1491,Counter,Psycho Boost,Thunderbolt,6,10,20,100000
Golem,74.5,76,rock,ground,125.2,122.3,117,1791042,19,1497,Mud Slap,Stone Edge,Rock Blast,6,4,1,10000
Graveler (Alolan) (Shadow),74.5,75,rock,electric,122.6,129.9,115,1831483,29.5,1500,Volt Switch,Stone Edge,Rock Blast,4,3,1,10000
Scolipede,74.5,545,bug,poison,131.8,120.4,107,1697847,22.5,1496,Poison Sting,X-Scissor,Megahorn,5,7,1,10000
Sneasel (Hisuian),74.5,215,fighting,poison,134,111.8,111,1661900,27,1497,Poison Jab,Close Combat,Aerial Ace,7,6,3,50000
Blaziken (Shadow),74.4,257,fire,fighting,143.9,90.8,119,1555953,19.5,1497,Fire Spin,Blaze Kick,Blast Burn,4,5,3,10000
Pumpkaboo (Small),74.4,710,ghost,grass,115.1,116.8,119,1600115,50,1359,Astonish,Grass Knot,Foul Play,5,4,5,75000
Quaquaval,74.4,914,water,fighting,137.7,98.6,120,1629772,18,1499,Wing Attack,Close Combat,Hydro Cannon,7,6,3,10000
Bruxish,74.3,779,water,psychic,136.5,102.5,117,1636557,23,1495,Confusion,Aqua Tail,Psychic Fangs,3,3,3,50000
Drilbur (Shadow),74.3,529,ground,none,139.5,81.5,142,1614496,50,1500,Mud Slap,Drill Run,Rock Tomb,5,5,3,50000
Graveler (Alolan),74.3,75,rock,electric,121.5,131,116,1845378,30,1499,Volt Switch,Stone Edge,Rock Blast,4,3,1,10000
Incineroar,74.3,727,fire,dark,125.3,109.2,131,1791290,18.5,1497,Snarl,Darkest Lariat,Blast Burn,5,4,3,10000
Rhyhorn (Shadow),74.3,111,ground,rock,112.6,111,159,1987139,38.5,1497,Mud Slap,Bulldoze,Stomp,5,4,3,50000
Solrock,74.3,338,rock,psychic,119.1,108.6,145,1876210,24,1496,Psywave,Rock Slide,Psychic,12,14,3,50000
Girafarig (Shadow),74.2,203,normal,psychic,130.3,101.6,130,1720655,27.5,1499,Confusion,Psychic Fangs,Trailblaze,3,4,3,50000
Granbull,74.2,210,fairy,none,135.3,88.3,139,1661969,22,1500,Charm,Close Combat,Crunch,8,8,3,50000
Nidoking (Shadow),74.2,34,poison,ground,129.5,105.3,127,1731199,21.5,1500,Fury Cutter,Sand Tomb,Earth Power,10,14,3,50000
Quilladin,74.2,651,grass,none,115,130.2,130,1946835,35,1497,Vine Whip,Body Slam,Energy Ball,5,7,3,10000
Ivysaur,74.1,2,grass,poison,118.7,121.1,131,1883144,37.5,1500,Vine Whip,Power Whip,Sludge Bomb,7,7,3,10000
Jirachi,74.1,385,steel,psychic,120.5,119.4,129,1855163,16.5,1498,Confusion,Doom Desire,Dazzling Gleam,4,5,20,100000
Regice (Shadow),74.1,378,ice,none,103.9,181.1,114,2145474,17.5,1497,Lock On,Blizzard,Thunder,15,12,20,100000
Chimecho,74,358,psychic,none,119.6,120.9,130,1879066,25,1500,Astonish,Psyshock,Shadow Ball,4,6,5,75000
Haxorus,74,612,dragon,none,151.5,95.2,103,1485200,15.5,1500,Dragon Tail,Breaking Swipe,Surf,4,5,5,75000
Aipom,73.9,190,normal,none,124.4,106.7,135,1791711,50,1494,Astonish,Swift,Aerial Ace,4,4,3,50000
Cryogonal,73.9,615,ice,none,115.9,138,121,1935216,20,1499,Ice Shard,Triple Axel,Night Slash,5,4,5,75000
Dartrix,73.9,723,grass,flying,112.5,115.5,154,2001159,36.5,1500,Leafage,Brave Bird,Seed Bomb,8,7,3,10000
Golduck (Shadow),73.9,55,water,none,124.2,112.2,129,1796871,22.5,1499,Water Gun,Cross Chop,Liquidation,12,15,3,50000
Shiftry,73.9,275,grass,dark,133.4,88.1,143,1680081,23.5,1497,Snarl,Leaf Blade,Foul Play,3,4,3,50000
Leafeon,73.8,470,grass,none,128.1,133.9,102,1749898,19,1500,Quick Attack,Leaf Blade,Last Resort,5,7,5,75000
Muk (Alolan) (Shadow),73.8,89,poison,dark,115.9,111.7,148,1916176,20,1491,Poison Jab,Dark Pulse,Acid Spray,8,7,3,50000
Conkeldurr,73.7,534,fighting,none,134,93.9,133,1673445,16.5,1500,Counter,Dynamic Punch,Brutal Swing,8,6,5,75000
Grimer (Alolan) (Shadow),73.7,88,poison,dark,122.8,86.9,171,1824029,49,1497,Poison Jab,Crunch,Sludge Bomb,7,8,3,50000
Vigoroth (Shadow),73.7,288,normal,none,116.2,114.1,145,1923360,28.5,1497,Counter,Body Slam,Rock Slide,6,8,5,75000
Chansey,73.6,113,normal,none,63,120.2,421,3188219,50,1418,Zen Headbutt,Dazzling Gleam,Psychic,10,10,5,75000
Sneasel (Hisuian) (Shadow),73.6,215,fighting,poison,134,111.8,111,1661900,27,1497,Poison Jab,Close Combat,Aerial Ace,7,6,3,50000
Tauros (Blaze),73.6,128,fighting,fire,127.8,120.7,114,1758735,20,1500,Double Kick,Flame Charge,Trailblaze,5,4,3,50000
Uxie,73.6,480,psychic,none,101.4,176.2,124,2214544,22.5,1499,Confusion,Swift,Future Sight,3,6,20,100000
Sandshrew (Shadow),73.5,27,ground,none,118.5,113.4,127,1706968,50,1426,Sand Attack,Rock Tomb,Dig,13,13,3,50000
Slurpuff,73.5,685,fairy,none,116,119.4,139,1925688,25.5,1498,Fairy Wind,Play Rough,Energy Ball,7,7,3,50000
Cacturne,73.4,332,grass,dark,147.2,85.1,121,1515811,24,1498,Sucker Punch,Trailblaze,Dynamic Punch,7,7,3,50000
Cacturne (Shadow),73.4,332,grass,dark,147.2,85.1,121,1515811,24,1498,Sucker Punch,Trailblaze,Dynamic Punch,7,7,3,50000
Golduck,73.4,55,water,none,124.2,112.2,129,1796871,22.5,1499,Water Gun,Cross Chop,Liquidation,12,15,3,50000
Ho-Oh,73.4,250,fire,flying,123,129.5,114,1814821,14,1496,Incinerate,Brave Bird,Earthquake,3,4,20,100000
Manectric,73.4,310,electric,none,142.5,91.3,121,1574038,23.5,1498,Thunder Fang,Psychic Fangs,Wild Charge,6,8,3,50000
Poliwhirl,73.4,61,water,none,114.3,116,148,1961320,50,1500,Bubble,Scald,Mud Bomb,5,4,3,50000
Alomomola,73.3,594,water,none,97.4,99.5,238,2305528,26,1499,Waterfall,Hydro Pump,Blizzard,10,10,5,75000
Dialga (Shadow),73.3,483,steel,dragon,137.9,110,107,1622729,13.5,1499,Dragon Breath,Iron Head,Thunder,17,20,20,100000
Growlithe (Shadow),73.3,58,fire,none,126.9,90.8,135,1554545,50,1405,Ember,Body Slam,Flamethrower,5,8,3,50000
Misdreavus,73.3,200,ghost,none,123,120.9,122,1813865,29,1495,Psywave,Dark Pulse,Shadow Sneak,13,12,3,50000
Misdreavus (Shadow),73.3,200,ghost,none,123,120.9,122,1813865,29,1495,Astonish,Dark Pulse,Shadow Sneak,5,5,3,50000
Stoutland,73.3,508,normal,none,123.9,116.2,125,1799428,19.5,1496,Sand Attack,Wild Charge,Crunch,12,12,1,10000
Torkoal,73.3,324,fire,none,107.6,151.3,128,2083996,27,1499,Ember,Overheat,Earthquake,8,10,3,50000
Grovyle,73.2,253,grass,none,136.3,103.2,117,1646572,36.5,1498,Quick Attack,Leaf Blade,Aerial Ace,5,5,3,10000
Hitmontop (Shadow),73.2,237,fighting,none,121.2,149.9,102,1853307,26,1500,Counter,Close Combat,Triple Axel,8,8,5,75000
Swoobat,73.1,528,psychic,flying,126.7,101.7,138,1777300,34.5,1500,Confusion,Fly,Psychic Fangs,4,3,1,10000
Magby,73,240,fire,none,139.5,95.8,120,1603478,50,1496,Karate Chop,Fire Punch,Brick Break,5,5,5,10000
Poliwhirl (Shadow),73,61,water,none,114.3,116,148,1961320,50,1500,Bubble,Scald,Mud Bomb,5,4,3,50000
Probopass,73,476,rock,steel,96,203.2,119,2320251,27.5,1492,Spark,Rock Slide,Zap Cannon,7,12,3,50000
Rufflet,73,627,normal,flying,126.7,92.2,152,1774904,46.5,1500,Wing Attack,Brave Bird,Fly,8,7,5,75000
Shiinotic,73,756,grass,fairy,116.6,134.3,123,1925196,31,1499,Astonish,Moonblast,Seed Bomb,6,5,3,50000
Basculin,72.9,550,water,none,134,97.2,129,1679476,27,1500,Water Gun,Aqua Tail,Aqua Jet,12,14,1,10000
Kabuto,72.9,140,rock,water,134.5,129.5,96,1671529,49,1499,Mud Shot,Aqua Jet,Rock Tomb,5,7,5,75000
Dolliv,72.8,929,grass,normal,118.5,122.7,130,1889662,50,1497,Magical Leaf,Earth Power,Trailblaze,6,5,3,50000
Electabuzz,72.8,125,electric,none,130.9,113.2,115,1704150,24,1498,Thunder Shock,Thunder Punch,Return,5,8,5,75000
Krookodile,72.8,553,ground,dark,133.2,98,129,1684588,18,1499,Mud Slap,Crunch,Earthquake,5,7,5,75000
Naganadel,72.8,804,poison,dragon,149.8,95.6,105,1502729,17.5,1500,Poison Jab,Dragon Claw,Sludge Bomb,5,8,20,100000
Oinkologne,72.8,916,normal,none,117.7,101.6,159,1900828,21.5,1496,Tackle,Body Slam,Trailblaze,12,15,1,10000
Hypno (Shadow),72.6,97,psychic,none,103.4,143,147,2174050,27,1500,Confusion,Thunder Punch,Fire Punch,4,4,3,50000
Rayquaza,72.6,384,dragon,flying,146.5,92.5,113,1530424,14,1500,Dragon Tail,Breaking Swipe,Dragon Ascent,4,8,20,100000
Wormadam (Sandy),72.6,413,bug,ground,110,144.9,128,2040195,34.5,1499,Bug Bite,Bug Buzz,Bulldoze,20,15,1,10000
Durant,72.5,632,bug,steel,135.3,122.4,100,1656336,21,1499,Bug Bite,X-Scissor,Stone Edge,14,19,3,50000
Latios (Shadow),72.5,381,dragon,psychic,139.4,115.5,100,1609544,14.5,1499,Dragon Breath,Dragon Claw,Luster Purge,12,20,20,100000
Milotic,72.5,350,water,none,113.2,133.9,131,1985080,18.5,1498,Dragon Tail,Surf,Wrap,5,5,5,75000
Purugly,72.5,432,normal,none,125.5,105.5,134,1775269,28.5,1493,Shadow Claw,Aerial Ace,Thunder,5,8,3,50000
Rhyhorn,72.5,111,ground,rock,112.6,111,159,1987139,38.5,1497,Mud Slap,Bulldoze,Stomp,5,4,3,50000
Weezing (Shadow),72.5,110,poison,none,117.7,139.5,116,1904809,24.5,1499,Rollout,Sludge Bomb,Shadow Ball,4,5,3,50000
Karrablast (Shadow),72.4,588,bug,none,127.7,85.7,127,1390325,50,1336,Fury Cutter,Drill Run,X-Scissor,12,10,3,50000
Meowscarada,72.4,908,grass,dark,140.4,99.1,115,1600011,19.5,1498,Leafage,Night Slash,Frenzy Plant,5,7,3,10000
Salamence (Shadow),72.4,373,dragon,flying,143.5,93.1,117,1562473,14.5,1497,Dragon Tail,Fly,Outrage,5,7,5,75000
Victini,72.4,494,psychic,fire,120.5,119.4,129,1855163,16.5,1498,Quick Attack,V-Create,Psychic,5,7,20,100000
Ceruledge,72.3,937,fire,ghost,136.4,114,106,1647731,17.5,1500,Incinerate,Shadow Ball,Flame Charge,3,3,5,50000
Crawdaunt (Shadow),72.3,342,water,dark,144.7,98.4,109,1551934,22,1498,Snarl,Night Slash,Scald,3,4,3,50000
Darumaka (Shadow),72.3,554,fire,none,131.9,82.3,157,1705667,50,1500,Fire Fang,Fire Punch,Flame Charge,7,9,3,50000
Pignite,72.2,499,fire,fighting,127.3,87,158,1751280,29,1497,Ember,Rock Tomb,Flame Charge,8,8,3,10000
Gloom,72.1,44,grass,poison,121.4,116,131,1844296,37,1498,Acid,Sludge Bomb,Petal Blizzard,7,9,3,50000
Krokorok,72.1,552,ground,dark,134,88,142,1674489,49.5,1500,Mud Slap,Crunch,Earthquake,5,7,5,75000
Nidoking,72.1,34,poison,ground,129.5,105.3,127,1731199,21.5,1500,Fury Cutter,Sand Tomb,Earth Power,10,14,3,50000
Sandshrew (Alolan) (Shadow),72.1,27,ice,steel,117.6,121,127,1807853,50,1462,Powder Snow,Night Slash,Blizzard,5,10,3,50000
Blaziken,72,257,fire,fighting,143.9,90.8,119,1555953,19.5,1497,Fire Spin,Blaze Kick,Blast Burn,4,5,3,10000
Eelektrik,72,603,electric,none,122.3,110.1,136,1831304,35.5,1497,Acid,Discharge,Crunch,5,6,1,10000
Ivysaur (Shadow),72,2,grass,poison,119.8,121.4,129,1876677,37,1500,Vine Whip,Power Whip,Sludge Bomb,7,7,3,10000
Palpitoad,72,536,water,ground,116.2,103,161,1926840,48,1500,Mud Shot,Earth Power,Water Pulse,7,7,3,50000
Swadloon,72,541,bug,grass,106.7,146.2,135,2106471,50,1500,Bug Bite,Energy Ball,Silver Wind,19,15,1,10000
Corsola,71.9,222,water,rock,108.6,142,134,2066246,49,1500,Bubble,Power Gem,Rock Blast,5,4,3,50000
Frigibax,71.9,996,dragon,ice,125.2,84.9,149,1583298,50,1410,Ice Fang,Avalanche,Dragon Claw,8,6,5,75000
Maushold,71.9,925,normal,none,116.2,122,136,1928003,28.5,1498,Mud Shot,Swift,Crunch,5,6,1,10000
Vigoroth,71.9,288,normal,none,116.2,114.1,145,1923360,28.5,1497,Counter,Body Slam,Rock Slide,6,8,5,75000
Bayleef,71.8,153,grass,none,105.6,141.6,142,2122414,49.5,1499,Magical Leaf,Ancient Power,Energy Ball,5,6,3,10000
Cubone (Shadow),71.8,104,ground,none,88.2,133.6,127,1497128,50,1152,Mud Slap,Bone Club,Dig,4,5,3,50000
Luxray,71.8,405,electric,none,138,99,119,1625573,19,1500,Spark,Wild Charge,Psychic Fangs,7,5,5,75000
Tangrowth,71.8,465,grass,none,120.7,112.8,136,1851661,18,1495,Vine Whip,Power Whip,Rock Slide,7,6,3,50000
Articuno,71.6,144,ice,flying,112.2,142.3,125,1995441,18,1497,Ice Shard,Triple Axel,Ancient Power,5,5,20,100000
Karrablast,71.5,588,bug,none,127.7,85.7,127,1390325,50,1336,Fury Cutter,Drill Run,X-Scissor,12,10,3,50000
Croconaw,71.4,159,water,none,117.7,120,135,1907626,35.5,1500,Water Gun,Ice Punch,Crunch,14,15,3,10000
Croconaw (Shadow),71.4,159,water,none,117.7,120,135,1907626,35.5,1500,Water Gun,Ice Punch,Crunch,14,15,3,10000
Darumaka,71.4,554,fire,none,131.9,82.3,157,1705667,50,1500,Fire Fang,Fire Punch,Flame Charge,7,9,3,50000
Articuno (Shadow),71.3,144,ice,flying,112.8,141.1,125,1989539,18,1499,Ice Shard,Triple Axel,Ancient Power,5,5,20,100000
Combusken,71.3,256,fire,fighting,130.4,100.9,131,1723138,37.5,1499,Ember,Flame Charge,Rock Slide,8,7,3,10000
Latios,71.3,381,dragon,psychic,138.4,115,102,1622572,14.5,1500,Dragon Breath,Dragon Claw,Luster Purge,12,20,20,100000
Buzzwole,71.2,794,bug,fighting,128.2,111.7,122,1747334,16,1499,Counter,Superpower,Lunge,7,8,20,100000
Charmeleon,71.2,5,fire,none,126.6,109.5,128,1774326,38.5,1500,Ember,Fire Punch,Return,6,10,3,10000
Grovyle (Shadow),71.2,253,grass,none,136.3,103.2,117,1646572,36.5,1498,Bullet Seed,Leaf Blade,Aerial Ace,3,4,3,10000
Quaxwell,71.2,913,water,none,125.4,103.5,138,1792214,34,1500,Water Gun,Aqua Jet,Aerial Ace,14,14,3,10000
Weezing,71.2,110,poison,none,117.6,140.3,116,1912745,25,1500,Rollout,Sludge Bomb,Shadow Ball,4,5,3,50000
Lopunny,71.1,428,normal,none,112.1,143.6,124,1996020,27.5,1499,Double Kick,Triple Axel,Focus Blast,4,7,3,50000
Ludicolo,71.1,272,water,grass,116.5,123.7,134,1930725,24,1500,Bubble,Scald,Leaf Storm,5,5,3,50000
Ponyta,71.1,77,fire,none,133.5,108.2,116,1675972,36,1500,Ember,Flame Charge,Stomp,8,6,3,50000
Seviper,71.1,336,poison,none,137.5,90.1,131,1623124,26.5,1496,Poison Jab,Poison Fang,Wrap,6,7,3,50000
Crawdaunt,71,342,water,dark,144.7,98.4,109,1551934,22,1498,Snarl,Night Slash,Scald,3,4,3,50000
Grotle (Shadow),71,388,grass,none,117.8,114.9,141,1908142,30,1500,Razor Leaf,Body Slam,Energy Ball,9,14,3,10000
Kabutops,71,141,rock,water,135.5,119.8,102,1654897,20.5,1498,Fury Cutter,Stone Edge,Ancient Power,14,12,5,75000
Electrode,70.9,101,electric,none,122.9,126.3,118,1831578,27,1500,Volt Switch,Discharge,Hyper Beam,3,5,3,50000
Linoone (Galarian) (Shadow),70.9,264,dark,normal,114.1,111.8,154,1965124,38.5,1497,Snarl,Body Slam,Dig,3,4,1,10000
Tangrowth (Shadow),70.9,465,grass,none,120.7,112.8,136,1851661,18,1495,Vine Whip,Power Whip,Rock Slide,7,6,3,50000
Vikavolt,70.9,738,bug,electric,144.2,96.7,111,1547210,17.5,1494,Volt Switch,X-Scissor,Fly,3,3,1,10000
Wobbuffet,70.9,202,psychic,none,63,101.7,333,2133829,50,1160,Counter,Return,Mirror Coat,12,10,3,50000
Hitmonlee,70.8,106,fighting,none,141.8,118.9,94,1585670,21.5,1500,Double Kick,Close Combat,Blaze Kick,4,4,5,75000
Floette,70.7,670,fairy,none,114.3,134.5,128,1967111,44,1499,Vine Whip,Dazzling Gleam,Psychic,7,7,3,50000
Huntail,70.7,367,water,none,130.8,125.6,104,1709128,23.5,1497,Water Gun,Aqua Tail,Crunch,12,15,3,50000
Chandelure (Shadow),70.6,609,ghost,fire,151.5,105.2,93,1481922,17,1498,Incinerate,Flame Charge,Shadow Ball,3,3,5,75000
